1 8 => Dieciocho | reason: contains digits
10 => Diez | reason: contains digits
17 => D iecisiete | reason: contains digits
17 => Dieciséis | reason: contains digits
19 => D iecinueve | reason: contains digits
20 => Veinte | reason: contains digits
30 => Treinta | reason: contains digits
50 => Cincuenta | reason: contains digits
Address Dirección (d ee => rek - theon ) | reason: spanish looks malformed
Angry => Enojado/a - noh -HA-do) | reason: spanish looks malformed
Angry => Enojados/as - noh -HA-doss) | reason: spanish looks malformed
Are you OK /Are you well? => ¿Estás bien? | reason: english looks like phrase variants not clean vocab
Backpack M ochila ( m o => chee -LAH ) | reason: spanish looks malformed
Basketball B aloncesto (Bal => on- sesto ) | reason: spanish looks malformed
Bottle Bottella ( bo => teh -yah) | reason: spanish looks malformed
Busy Ocupado /a (o => ku -pa-doh ) | reason: spanish looks malformed
Chocolate Chocolate ( chok -oh- lah => teh ) | reason: spanish looks malformed
Desk Escrit orio (es- kree => tor io ) | reason: spanish looks malformed
Every Tuesday => T odos los martes *days of the week are all masculine* | reason: too long / not likely simple vocab
Excited Emocionada /o ( e => mo - zio - na - da/o ) | reason: spanish looks malformed
Half past nine => A las nueve y media | reason: spanish letters split oddly
I go to work => Yo voy al trabajo * A+ el is contracted to al * | reason: too long / not likely simple vocab
Know Conozco (ko- noz => ko ) | reason: spanish looks malformed
Latin America => gra -see-oh-so | reason: spanish looks malformed
Menu => Menú ) | reason: spanish looks malformed
Orange Nara nja ( nar => anne -ka) | reason: spanish looks malformed
Portuguese Portugués (Por- tu => guess ) | reason: spanish looks malformed
Spain => gra -thee-oh-so | reason: spanish looks malformed
Stink Apestas (ah- peh => stas ) | reason: spanish looks malformed
Television Televisión ( teh => leh -vee- syon ) | reason: spanish looks malformed
That => Ese | reason: english looks like note/instruction
To try, to taste, to test, to prove, to sample => P robar | reason: too long / not likely simple vocab
Where are you from? => ¿De d ó nde eres ? ) | reason: spanish looks malformed
Yellow Amarillo/a (A-ma- ree => yo ) | reason: spanish looks malformed
are called => S e llam an | reason: spanish letters split oddly
feels/ is feeling => Se siente | reason: english looks like phrase variants not clean vocab
name is => S e llama XXXXX | reason: spanish letters split oddly
